ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
112808682,0001459129,Clopay Corp.,DE,NY,JERICHO,,,,"Clopay Building Products Company, Inc.",2020-07-06
311652755,0001465217,"Construction Software Technologies, Inc.",DE,OH,CINCINNATI,,,,,2009-06-09
911295550,0001813469,"Core-Mark International, Inc.",DE,TX,WESTLAKE,,,,,2021-09-01
202164234,0001334036,"Crocs, Inc.",,CO,BROOMFIELD,3021,Rubber & Plastics Footwear,CROX,,2026-09-16
841865395,0001825773,Crownme Coil Care LLC,OH,OH,TROTWOOD,,,,,2020-09-24
261531856,0000026780,DANA Inc,DE,OH,MAUMEE,3714,Motor Vehicle Parts & Accessories,DAN,DANA HOLDING CORP | DANA CORP,2026-09-02
340176110,0000277638,DAVEY TREE EXPERT CO,OH,OH,KENT,0700,Agricultural Services,,,2026-08-25
462633179,0001683575,"DECKED, L.L.C.",DE,ID,KETCHUM,,,,,2022-09-29
610502302,0000029534,DOLLAR GENERAL CORP,TN,TN,GOODLETTSVILLE,5331,Retail-Variety Stores,DG,,2026-09-03
133160717,0001019336,DONNELLEY ENTERPRISE SOLUTIONS INC,DE,IL,CHICAGO,8741,Services-Management Services,,,1999-02-17
250530110,0000950132,DONNELLEY R R & SONS CO 04/FA,PA,PA,PITTSBURGH,0000,,,,
341940366,0001473390,"Dealer Tire, LLC",DE,OH,CLEVELAND,,,,,2009-10-09
262828128,0001483510,"EXP OldCo Winddown, Inc.",,OH,COLUMBUS,5600,Retail-Apparel & Accessory Stores,,"EXPRESS, INC. | EXPRESS PARENT LLC",2024-12-31
472692010,0001677374,"Eccrine Systems, Inc.",DE,OH,CINCINNATI,,,,,2019-10-18
